نام دامنه,پسوند (TLD),وضعیت,قیمت ثبت ۱ ساله در ایران‌سرور (تومان),قیمت تمدید سال‌های بعد در ایران‌سرور (تومان),نوع تعرفه تمدید,توضیحات وضعیت
bartan.com,.com,ثبت‌شده (غیرقابل ثبت),"3,015,000","3,015,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),Active NS: ns-1178.awsdns-19.org.
bartan.design,.design,ثبت‌شده (غیرقابل ثبت),"16,330,000","16,330,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),Active NS: ns76.domaincontrol.com.
bartan.ir,.ir,ثبت‌شده (غیرقابل ثبت),"99,000","99,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),ثبت شده در ایرنیک (IRNIC)
bartan.net,.net,ثبت‌شده (غیرقابل ثبت),"4,163,000","4,163,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),Active NS: dns3.name-services.com.
bartan.online,.online,ثبت‌شده (غیرقابل ثبت),"1,388,000","10,379,000",نرخ تمدید پس از تخفیف سال اول,Active NS: ns22.domaincontrol.com.
bartan.org,.org,ثبت‌شده (غیرقابل ثبت),"3,699,000","3,699,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),Active NS: dns1.registrar-servers.com.
bartan.shop,.shop,ثبت‌شده (غیرقابل ثبت),"706,000","11,008,000",نرخ تمدید پس از تخفیف سال اول,Active NS: rick.ns.cloudflare.com.
bartan.store,.store,ثبت‌شده (غیرقابل ثبت),"992,000","15,851,000",نرخ تمدید پس از تخفیف سال اول,Active NS: ns52.domaincontrol.com.
bartan.xyz,.xyz,ثبت‌شده (غیرقابل ثبت),"1,367,000","5,232,000",نرخ تمدید پس از تخفیف سال اول,Active NS: ns5.afternic.com.
bartan.ac,.ac,آزاد (قابل خرید),"11,004,000","16,228,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.ac.ir,.ac.ir,آزاد (قابل خرید),"99,000","99,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.academy,.academy,آزاد (قابل خرید),"4,956,000","13,073,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.accountant,.accountant,آزاد (قابل خرید),"6,929,000","6,929,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.accountants,.accountants,آزاد (قابل خرید),"9,912,000","33,337,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.actor,.actor,آزاد (قابل خرید),"4,536,000","12,517,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.agency,.agency,آزاد (قابل خرید),"1,328,000","8,649,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.ai,.ai,آزاد (قابل خرید),"34,192,000","34,192,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.airforce,.airforce,آزاد (قابل خرید),"32,055,000","32,055,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.apartments,.apartments,آزاد (قابل خرید),"4,536,000","16,124,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.app,.app,آزاد (قابل خرید),"7,294,000","7,294,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.archi,.archi,آزاد (قابل خرید),"5,628,000","29,123,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.army,.army,آزاد (قابل خرید),"4,536,000","12,738,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.art,.art,آزاد (قابل خرید),"1,328,000","7,339,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.asia,.asia,آزاد (قابل خرید),"3,992,000","3,992,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.associates,.associates,آزاد (قابل خرید),"4,956,000","10,997,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.attorney,.attorney,آزاد (قابل خرید),"18,538,000","18,538,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.auction,.auction,آزاد (قابل خرید),"1,160,000","10,463,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.audio,.audio,آزاد (قابل خرید),"36,087,000","36,087,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.auto,.auto,آزاد (قابل خرید),"693,504,000","693,504,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.autos,.autos,آزاد (قابل خرید),"669,000","5,232,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.baby,.baby,آزاد (قابل خرید),"6,717,000","19,919,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.band,.band,آزاد (قابل خرید),"6,704,000","8,754,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.bargains,.bargains,آزاد (قابل خرید),"4,956,000","8,439,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.bayern,.bayern,آزاد (قابل خرید),"10,517,000","10,517,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.beauty,.beauty,آزاد (قابل خرید),"669,000","5,232,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.beer,.beer,آزاد (قابل خرید),"9,072,000","9,072,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.berlin,.berlin,آزاد (قابل خرید),"17,294,000","17,294,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.best,.best,آزاد (قابل خرید),"6,660,000","6,660,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.bible,.bible,آزاد (قابل خرید),"14,546,000","14,546,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.bid,.bid,آزاد (قابل خرید),"2,000,000","2,289,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.bike,.bike,آزاد (قابل خرید),"3,344,000","11,165,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.bingo,.bingo,آزاد (قابل خرید),"3,344,000","15,054,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.bio,.bio,آزاد (قابل خرید),"2,268,000","20,652,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.biz,.biz,آزاد (قابل خرید),"6,532,000","6,532,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
